"longseq","regne","repliement","isoelec","poidsmol","hydro","genre"
92,"Viridiplantae","0.0000000","10.3800001","10217.7197","-0.6402174","Picea"
202,"Viridiplantae","-0.3001397","5.0200000","22976.4199","-1.5584158","Phaseolus"
152,"Viridiplantae","0.2086706","4.7199998","16497.1406","-0.0210526","Glycine"
469,"Viridiplantae","-0.1083932","6.8200002","46804.4492","-1.0825160","Triticum"
190,"Viridiplantae","-0.1379518","9.8400002","20582.6895","-1.1242105","Picea"
205,"Viridiplantae","-0.0789435","7.7300000","20753.6191","-1.0356098","Hordeum"
265,"Viridiplantae","-0.2758895","4.4400001","29931.7109","-1.2573586","Arabidopsis"
128,"Viridiplantae","-0.1078173","9.7200003","13436.6104","-1.0531250","Arabidopsis"
193,"Viridiplantae","-0.1525833","9.9099998","20912.3594","-1.1730570","Arabidopsis"
214,"Viridiplantae","-0.0912936","9.6599998","22078.1191","-1.0000000","Oryza"
289,"Viridiplantae","-0.2383738","5.4200001","31444.5703","-1.3159170","Zea"
154,"Viridiplantae","-0.1139938","10.1800003","16277.3301","-1.0019481","Sorghum"
145,"Viridiplantae","-0.1693867","6.9600000","15803.1504","-1.3055172","Gossypium"
